waiting;eruptions
86;NA
79;NA
63;1.833
80;NA
84;NA
45;NA
53;NA
81;NA
76;4.583
46;1.833
69;4.067
47;2.35
75;4.15
52;2.167
55;2.183
53;1.8
53;2.1
81;NA
93;4.617
83;NA
82;4.5
79;NA
81;NA
85;NA
60;NA
77;5.033
83;NA
49;2.1
78;4.7
51;1.883
85;4.35
77;4.583
75;4.733
71;2.383
62;1.983
48;2.167
46;NA
52;2.017
49;1.867
84;4.083
51;1.95
84;4.5
54;1.85
67;2.133
89;4.333
59;1.7
82;4.35
66;3.5
78;NA
66;NA
51;2.25
77;NA
83;NA
75;NA
83;4.25
63;2.367
59;2.233
76;NA
91;4.133
53;2.617
73;4.3
86;4.933
82;4.333
75;4.483
80;4.633
84;4.667
65;NA
58;1.75
77;4.567
56;1.967
74;4.533
77;NA
68;3.333
82;4.8
57;1.833
70;NA
54;1.8
89;NA
81;3.683
77;NA
78;4.767
47;1.75
56;2
93;4.083
50;1.867
76;NA
85;NA
79;NA
76;NA
72;NA
82;4.9
81;NA
65;2.633
88;NA
58;1.85
79;4.433
78;4.2
78;NA
80;3.817
65;2.067
62;1.75
75;NA
96;NA
59;1.983
48;1.867
90;NA
55;2.267
78;NA
79;NA
78;4.167
64;2.333
60;2.233
59;2
77;4.25
47;NA
82;NA
77;NA
87;4.417
78;4.083
83;NA
87;NA
45;1.867
73;NA
90;NA
94;NA
88;NA
84;NA
64;1.667
86;4.933
49;1.933
43;1.983
82;4.533
78;NA
60;2.2
54;1.833
71;4
60;1.817
89;4.9
70;4
62;2.483
51;1.867
60;2.017
76;4.8
75;3.833
81;NA
56;NA
92;4.4
73;4.067
46;1.817
77;NA
45;NA
54;1.883
76;3.883
86;4
74;NA
79;NA
52;1.933
74;4.35
55;2
71;3.917
78;3.45
78;NA
81;NA
82;NA
50;2.217
85;4
59;NA
75;NA
50;NA
71;3.717
81;NA
46;1.833
51;2.033
70;NA
84;4.533
76;4.083
81;4.317
83;4.5
79;4.5
69;3.067
50;2.417
82;NA
83;3.767
64;NA
53;2.033
85;NA
57;2.083
84;4.1
90;4.716
59;1.817
75;4.133
79;NA
55;2.883
76;3.95
62;2.283
48;1.75
85;4.583
54;2.417
59;2.3
86;NA
64;NA
90;NA
80;NA
73;4.5
58;1.883
79;NA
73;4.533
73;3.567
77;NA
70;NA
84;4.8
76;NA
84;NA
83;NA
49;1.917
55;1.967
54;2.2
83;4.7
88;NA
81;4.233
83;3.6
82;4.383
78;4.267
54;1.733
78;3.85
77;3.966
74;NA
83;4.45
55;1.883
53;1.8
79;NA
88;NA
58;NA
80;NA
57;2.083
74;3.333
78;4.817
53;2.4
74;NA
81;4.167
90;4.65
49;NA
73;4.7
86;4.15
84;NA
81;NA
90;4.45
54;1.833
60;NA
78;NA
82;NA
63;2.9
80;4.7
52;1.6
56;2.8
88;4.15
83;NA
52;1.783
82;4.033
88;4.367
80;NA
71;3.567
51;1.8
81;4.633
46;1.783
47;1.867
83;NA
54;1.75
50;2.317
83;NA
77;4.467
80;4.517